"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-1 - ФВ Зал DL ПЗПІ-23-1","16.06.2025","13:10:00","16.06.2025","14:45:00","Ложь","Истина","16.06.2025","13:05:00","2","Обычная","ФВ Зал DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - Філ Конс DL ПЗПІ-23-1","23.06.2025","13:10:00","23.06.2025","14:45:00","Ложь","Истина","23.06.2025","13:05:00","2","Обычная","Філ Конс DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ПрПА Пз DL ПЗПІ-23-2","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","ПрПА Пз DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","07.04.2025","13:10:00","07.04.2025","14:45:00","Ложь","Истина","07.04.2025","13:05:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","28.04.2025","13:10:00","28.04.2025","14:45:00","Ложь","Истина","28.04.2025","13:05:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","19.05.2025","13:10:00","19.05.2025","14:45:00","Ложь","Истина","19.05.2025","13:05:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Лб DL ПЗПІ-23-2","02.06.2025","13:10:00","02.06.2025","14:45:00","Ложь","Истина","02.06.2025","13:05:00","2","Обычная","ПрПА Лб DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-2 - ПрПА Конс DL ПЗПІ-23-2","16.06.2025","13:10:00","16.06.2025","14:45:00","Ложь","Истина","16.06.2025","13:05:00","2","Обычная","ПрПА Конс DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - ОС Пз DL ПЗПІ-23-3","03.03.2025","13:10:00","03.03.2025","14:45:00","Ложь","Истина","03.03.2025","13:05:00","2","Обычная","ОС Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОС Пз DL ПЗПІ-23-3","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","ОС Пз DL ПЗПІ-23-3","Обычный"
